Species,Species,LWP,g1
6 E.camaldulensis camaldulensis ,E.camaldulensis camaldulensis ,-2.228,1.02194536
6 E.camaldulensis camaldulensis ,E.camaldulensis camaldulensis ,-1.5,0.498532701
6 E.camaldulensis camaldulensis ,E.camaldulensis camaldulensis ,-1.31,1.281343522
6 E.camaldulensis camaldulensis ,E.camaldulensis camaldulensis ,-1.284,1.310536648
6 E.camaldulensis camaldulensis ,E.camaldulensis camaldulensis ,-0.97,0.894481172
6 E.camaldulensis camaldulensis ,E.camaldulensis camaldulensis ,-0.75,2.713672353
6 E.camaldulensis camaldulensis ,E.camaldulensis camaldulensis ,-0.723,3.306772931
6 E.camaldulensis camaldulensis ,E.camaldulensis camaldulensis ,-0.7,2.683660398
6 E.camaldulensis camaldulensis ,E.camaldulensis camaldulensis ,-0.67,1.924778656
6 E.camaldulensis camaldulensis ,E.camaldulensis camaldulensis ,-0.51,2.584781572
6 E.camaldulensis camaldulensis ,E.camaldulensis camaldulensis ,-0.43,2.506301944
6 E.camaldulensis camaldulensis ,E.camaldulensis camaldulensis ,-0.39,2.290411367
6 E.camaldulensis camaldulensis ,E.camaldulensis camaldulensis ,-0.37,2.477066754
6 E.camaldulensis camaldulensis ,E.camaldulensis camaldulensis ,-0.32,2.877719203
6 E.camaldulensis camaldulensis ,E.camaldulensis camaldulensis ,-0.298,3.54614038
7 E.camaldulensis subcinerea ,E.camaldulensis subcinerea ,-3.228,1.303324049
7 E.camaldulensis subcinerea ,E.camaldulensis subcinerea ,-2.866,1.404555458
7 E.camaldulensis subcinerea ,E.camaldulensis subcinerea ,-2.46,0.623025737
7 E.camaldulensis subcinerea ,E.camaldulensis subcinerea ,-1.49,1.347197449
7 E.camaldulensis subcinerea ,E.camaldulensis subcinerea ,-1.1,5.51935539
7 E.camaldulensis subcinerea ,E.camaldulensis subcinerea ,-0.916,4.812639382
7 E.camaldulensis subcinerea ,E.camaldulensis subcinerea ,-0.91,2.136752573
7 E.camaldulensis subcinerea ,E.camaldulensis subcinerea ,-0.89,5.435672094
7 E.camaldulensis subcinerea ,E.camaldulensis subcinerea ,-0.72,3.368675649
7 E.camaldulensis subcinerea ,E.camaldulensis subcinerea ,-0.703,2.666962239
7 E.camaldulensis subcinerea ,E.camaldulensis subcinerea ,-0.678,3.283031467
7 E.camaldulensis subcinerea ,E.camaldulensis subcinerea ,-0.578,3.600127465
7 E.camaldulensis subcinerea ,E.camaldulensis subcinerea ,-0.53,1.947576663
7 E.camaldulensis subcinerea ,E.camaldulensis subcinerea ,-0.38,3.284549087
8 E.occidentalis ,E.occidentalis ,-2.89,0.588637443
8 E.occidentalis ,E.occidentalis ,-2.28,1.88073048
8 E.occidentalis ,E.occidentalis ,-2.104,0.832149502
8 E.occidentalis ,E.occidentalis ,-2.088,0.840097084
8 E.occidentalis ,E.occidentalis ,-1.828,1.046433873
8 E.occidentalis ,E.occidentalis ,-1.698,1.167710737
8 E.occidentalis ,E.occidentalis ,-1.628,0.977677287
8 E.occidentalis ,E.occidentalis ,-1.35,1.080877802
8 E.occidentalis ,E.occidentalis ,-1.08,1.301976171
8 E.occidentalis ,E.occidentalis ,-0.622,1.675239258
8 E.occidentalis ,E.occidentalis ,-0.585,2.451708179
8 E.occidentalis ,E.occidentalis ,-0.58,3.662849956
8 E.occidentalis ,E.occidentalis ,-0.45,4.537974275
8 E.occidentalis ,E.occidentalis ,-0.405,2.38155486
8 E.occidentalis ,E.occidentalis ,-0.4,3.521872655
