Year,Mileage,Price,pred,
16,31881,11999,12813.535,-814.535
15,32144,11599,12366.625,-767.625
15,82240,9995,10254.046,-259.046
14,100874,8995,9694.047,-699.047
14,103280,8988,9674.307,-686.307
14,102606,9442,9679.735,-237.735
14,50114,10990,10637.831,352.169
14,71641,10988,10053.366,934.634
14,76845,10995,9967.035,1027.965
14,56471,11748,10411.081,1336.919
13,62197,9123,9849.372,-726.372
13,48363,9595,10291.665,-696.665
13,29287,11695,11849.974,-154.974
13,52661,9995,10124.83,-129.83
13,72317,9599,9646.556,-47.556
13,72317,9599,9646.556,-47.556
13,82669,9995,9496.066,498.934
13,47744,10863,10318.675,544.325
13,58895,11599,9933.042,1665.958
12,62611,9840,9408.042,431.958
11,119235,6499,8352.976,-1853.976
11,107587,6999,8419.626,-1420.626
11,69390,7995,8816.007,-821.007
11,40481,10900,9738.177,1161.823
11,74639,10998,8734.555,2263.445
10,121333,6864,7876.645,-1012.645
