pkx,h3,d,wL,P50,pxmin,pxgs50,slope
0.5,25,1,0.248451443,-0.870375413,-0.703880933,-0.703880933,0.12541889
0.5,25,2,0.202110954,-1.740750825,-1.738495321,-1.738495317,0.371955377
0.5,25,3,0.17886589,-2.611126238,-2.968838052,-2.963759815,0.49348123
0.5,25,4,0.164329022,-3.48150165,-4.303567068,-3.648711423,0.563693316
0.5,25,5,0.153965652,-4.351877063,-5.724540428,-4.344923609,0.611992246
0.5,25,6,0.146558978,-5.222252475,-7.104322173,-5.069171247,0.640163446
0.5,25,7,0.140024148,-6.092627888,-8.675373955,-5.738915004,0.671594124
0.5,25,8,0.134855563,-6.9630033,-10.22895891,-6.418890985,0.693756035
0.5,25,9,0.130649792,-7.833378713,-11.75170471,-7.102866466,0.70945826
0.5,25,10,0.127050777,-8.703754125,-13.28117179,-7.779943048,0.722255986
0.5,1,5,0.148584091,-4.351877063,-6.689880318,-4.718627231,0.465361433
0.5,100,5,0.169125553,-4.351877063,-3.794029034,-3.279705144,0.636927386
0.5,200,5,0.179365704,-4.351877063,-2.932773142,-2.555789048,0.633464976
,,,,,,,
