"px","PLC"
-10,99.8037069240848
-9.9,99.7689066180228
-9.8,99.7286652051257
-9.7,99.6822639691969
-9.6,99.6289110625398
-9.5,99.567737348619
-9.4,99.4977924838009
-9.3,99.4180413214194
-9.2,99.3273607271215
-9.1,99.2245368992754
-9,99.1082632919371
-8.9,98.9771392403034
-8.8,98.8296693894997
-8.7,98.6642640268128
-8.6,98.479240414893
-8.5,98.2728252188986
-8.4,98.0431581139269
-8.3,97.7882966502965
-8.2,97.5062224432976
-8.1,97.1948487409181
-8,96.8520294078592
-7.9,96.4755693469835
-7.8,96.0632363603695
-7.7,95.6127744315958
-7.6,95.1219183890194
-7.5,94.5884098869636
-7.4,94.0100146182572
-7.3,93.3845406478628
-7.2,92.7098577338295
-7.1,91.9839174789482
-7,91.2047741347487
-6.9,90.3706058593072
-6.8,89.4797362121895
-6.7,88.5306556541852
-6.6,87.5220428066723
-6.5,86.4527852158791
-6.4,85.3219993612752
-6.3,84.1290496450884
-6.2,82.8735661016907
-6.1,81.5554605714435
-6,80.1749410935629
-5.9,78.732524286627
-5.8,77.2290455033627
-5.7,75.6656665681094
-5.6,74.0438809305855
-5.5,72.36551609791
-5.4,70.6327332378356
-5.3,68.8480238793594
-5.2,67.0142036717391
-5.1,65.1344031989207
-5,63.2120558828558
-4.9,61.250883045574
-4.8,59.2548762355541
-4.7,57.2282769583268
-4.6,55.1755539837712
-4.5,53.1013784326977
-4.4,51.0105968725714
-4.3,48.9082026761758
-4.2,46.7993059172914
-4.1,44.6891020937732
-4,42.5828399805212
-3.9,40.4857889226177
-3.8,38.4032058822822
-3.7,37.3098636556152
-3.6,36.2908188010161
-3.5,35.2866929003045
-3.4,34.2999278426255
-3.3,33.3328804319239
-3.2,32.3878082913198
-3.1,31.4668566145751
-3,30.5720458635656
-2.9,29.7052604966737
-2.8,28.8682387981563
-2.7,28.0625638630526
-2.6,27.289655776259
-2.5,26.550765008231
-2.4,25.8469670335239
-2.3,25.1791581622114
-2.2,24.5480525582343
-2.1,23.9541804029837
-2,23.3978871469359
-1.9,22.8793337768484
-1.8,22.3984980107537
-1.7,21.9551763174396
-1.6,21.5489866408369
-1.5,21.1793716920122
-1.4,20.8456026511947
-1.3,20.5467830977919
-1.2,20.2818529550863
-1.1,20.0495921941951
-1,19.8486239823003
-0.9,19.6774168719917
-0.799999999999999,19.5342854922041
-0.699999999999999,19.4173889804642
-0.6,19.3247260197534
-0.5,19.2541246603813
-0.399999999999999,19.2032237665091
-0.299999999999999,19.1694400013283
-0.199999999999999,19.1499068366023
-0.0999999999999996,19.1413479982603
0,19.1397123794767
