"k","MAP","d","wL","P50","pxmin","pxgs50"
0.05,1825,1,0.237750873271612,-0.870375412543876,-0.853576004571479,-0.42757800228574
0.05,1825,2,0.196433710003912,-1.74075082508775,-1.96956774369802,-0.985573871849012
0.05,1825,3,0.175578639639358,-2.61112623763163,-3.22011312633157,-1.61084656316578
0.05,1825,4,0.162286635121149,-3.4815016501755,-4.54588680519153,-2.27373340259577
0.05,1825,5,0.152775311364286,-4.35187706271938,-5.92248772766164,-2.96203386383082
0.05,1825,6,0.145494790484226,-5.22225247526326,-7.33474947287316,-3.66816473643658
0.05,1825,7,0.139658551225723,-6.09262788780713,-8.77528630199075,-4.38843315099538
0.05,1825,8,0.134805767409109,-6.96300330035101,-10.2455192806854,-5.12354964034268
0.05,1825,9,0.130677141997975,-7.83337871289488,-11.7409359310374,-5.87125796551868
0.05,1825,10,0.127168061961787,-8.70375412543876,-13.2276049543535,-6.61459247717675
0.05,1825,11,0.123993874975274,-9.57412953798264,-14.7762444971686,-7.38891224858428
0.05,1825,12,0.121279681422878,-10.4445049505265,-16.2804137921386,-8.14099689606932
0.05,1825,13,0.118703114086926,-11.3148803630704,-17.8859920851758,-8.94378604258789
0.05,1825,14,0.116472529316712,-12.1852557756143,-19.4356078408286,-9.7185939204143
0.05,1825,15,0.11448347861847,-13.0556311881581,-20.9586617128505,-10.4801208564253
