k,MAP,d,wL,P50,pxmin,pxgs50
0.05,3650,1,0.241999227,-0.870375413,-0.789863167,-0.395721584
0.05,3650,2,0.200028456,-1.740750825,-1.819177532,-0.910378766
0.05,3650,3,0.178355803,-2.611126238,-3.00620751,-1.503893755
0.05,3650,4,0.164559646,-3.48150165,-4.277212558,-2.139396279
0.05,3650,5,0.154717013,-4.351877063,-5.603770363,-2.802675182
0.05,3650,6,0.147236074,-5.222252475,-6.962332658,-3.481956329
0.05,3650,7,0.141123942,-6.092627888,-8.383126708,-4.192353354
0.05,3650,8,0.13624452,-6.9630033,-9.780018586,-4.890799293
0.05,3650,9,0.132123294,-7.833378713,-11.18838345,-5.594981724
0.05,3650,10,0.128289255,-8.703754125,-12.72868797,-6.365133987
0.05,730,5,0.150307044,-4.351877063,-6.360446431,-3.181013215
0.05,1460,5,0.15213664,-4.351877063,-6.032161358,-3.016870679
0.05,2190,5,0.153310496,-4.351877063,-5.832466021,-2.91702301
0.05,2920,5,0.154110149,-4.351877063,-5.701068456,-2.851324228
0.05,3650,5,0.154717013,-4.351877063,-5.603770363,-2.802675182
