"R","I","B_bar"
-10,-10,1.42251827779496
-9.50000000000001,-10,1.52843157603049
-9,-10,1.73186375481447
-8.5,-10,2.0874489101974
-8.00000000000001,-10,2.61816329381898
-7.5,-10,3.25333756525882
-7,-10,3.85845125529227
-6.5,-10,4.35754249190359
-6,-10,4.78004911660566
-5.5,-10,5.20130496830803
-5,-10,5.67999565218914
-4.5,-10,6.23741005693051
-4,-10,6.8606662729487
-3.5,-10,7.50859780701438
-3,-10,8.11143099462114
-2.5,-10,8.56180055479804
-2,-10,8.69555828761013
-1.5,-10,8.26174752794373
-1,-10,6.89877258149077
-10,-9.50000000000001,2.82867227345773
-9.50000000000001,-9.50000000000001,3.03894515223822
-9,-9.50000000000001,3.44231770519858
-8.5,-9.50000000000001,4.14542969189972
-8.00000000000001,-9.50000000000001,5.1888739789519
-7.5,-9.50000000000001,6.42418434532165
-7,-9.50000000000001,7.57876427253312
-6.5,-9.50000000000001,8.50560144775406
-6,-9.50000000000001,9.27509026469837
-5.5,-9.50000000000001,10.0500526842479
-5,-9.50000000000001,10.9565992227048
-4.5,-9.50000000000001,12.0418761679614
-4,-9.50000000000001,13.2814666417212
-3.5,-9.50000000000001,14.5923186035139
-3,-9.50000000000001,15.83288957724
-2.5,-9.50000000000001,16.7855448566342
-2,-9.50000000000001,17.1181980930071
-1.5,-9.50000000000001,16.3240061913663
-1,-9.50000000000001,13.6731327594994
-10,-9,5.04932492792693
-9.50000000000001,-9,5.42465235390797
-9,-9,6.14415179509891
-8.5,-9,7.39595558756214
-8.00000000000001,-9,9.24547583582401
-7.5,-9,11.4147930406372
-7,-9,13.4073975740932
-6.5,-9,14.9666629294658
-6,-9,16.2392428982342
-5.5,-9,17.5395699532143
-5,-9,19.109337043127
-4.5,-9,21.0394126381059
-4,-9,23.2848910829275
-3.5,-9,25.6906840211778
-3,-9,27.9935800320818
-2.5,-9,29.7917715296114
-2,-9,30.4769319377787
-1.5,-9,29.1275729284445
-1,-9,24.4264778726625
-10,-8.5,7.9821199703599
-9.50000000000001,-8.5,8.57667492846693
-9,-8.5,9.71652631335363
-8.5,-8.5,11.6984117416041
-8.00000000000001,-8.5,14.6185824539255
-7.5,-8.5,18.019031957221
-7,-8.5,21.0965933292659
-6.5,-8.5,23.4526226338438
-6,-8.5,25.354496967592
-5.5,-8.5,27.3407964382364
-5,-8.5,29.8200794641888
-4.5,-8.5,32.9417198949726
-4,-8.5,36.6231268426864
-3.5,-8.5,40.5957147701743
-3,-8.5,44.4124448548201
-2.5,-8.5,47.4026526530993
-2,-8.5,48.5678740751794
-1.5,-8.5,46.419729132569
-1,-8.5,38.8662761829457
-10,-8.00000000000001,11.134023528983
-9.50000000000001,-8.00000000000001,11.9666578980784
-9,-8.00000000000001,13.5642155126417
-8.5,-8.00000000000001,16.3434772968108
-8.00000000000001,-8.00000000000001,20.4333853805733
-7.5,-8.00000000000001,25.1685137366641
-7,-8.00000000000001,29.396721948281
-6.5,-8.00000000000001,32.56999194753
-6,-8.00000000000001,35.1207514407706
-5.5,-8.00000000000001,37.8707170004214
-5,-8.00000000000001,41.430619576494
-4.5,-8.00000000000001,46.0082495013239
-4,-8.00000000000001,51.4541453372665
-3.5,-8.00000000000001,57.3378854623137
-3,-8.00000000000001,62.968494480725
-2.5,-8.00000000000001,67.3390011867028
-2,-8.00000000000001,68.9895453460562
-1.5,-8.00000000000001,65.7972794730703
-1,-8.00000000000001,54.8557905807021
-10,-7.5,13.9118470914465
-9.50000000000001,-7.5,14.9570083728336
-9,-7.5,16.9644215328982
-8.5,-7.5,20.4601711057616
-8.00000000000001,-7.5,25.6021548959895
-7.5,-7.5,31.5192805688262
-7,-7.5,36.7138299509754
-6.5,-7.5,40.5106638579959
-6,-7.5,43.5467400824956
-5.5,-7.5,46.9661310792055
-5,-7.5,51.5967133682057
-4.5,-7.5,57.6896992358721
-4,-7.5,64.9932987778163
-3.5,-7.5,72.872852782399
-3,-7.5,80.3560809058053
-2.5,-7.5,86.0778874472141
-2,-7.5,88.1231469749866
-1.5,-7.5,83.7877608535901
-1,-7.5,69.4806972943847
-10,-7,16.0208263567771
-9.50000000000001,-7,17.2288728909109
-9,-7,19.5507265623299
-8.5,-7,23.5958385043161
-8.00000000000001,-7,29.5400329768759
-7.5,-7,36.3399593915835
-7,-7,42.1585025764689
-6.5,-7,46.1912174391502
-6,-7,49.3340863529102
-5.5,-7,53.097755737334
-5,-7,58.5468088072246
-4.5,-7,65.9648876674882
-4,-7,74.9712033530731
-3.5,-7,84.7032477880916
-3,-7,93.9015068144061
-2.5,-7,100.8656418947
-2,-7,103.288673710205
-1.5,-7,98.0045320802769
-1,-7,80.9256138392284
-10,-6.5,17.48896647109
-9.50000000000001,-6.5,18.8102527079144
-9,-6.5,21.3496475890553
-8.5,-6.5,25.7705889941015
-8.00000000000001,-6.5,32.2511503609049
-7.5,-6.5,39.6146757064883
-7,-6.5,45.7721556077076
-6.5,-6.5,49.6188976914822
-6,-6.5,52.2833396959271
-5.5,-6.5,55.822632838295
-5,-6.5,61.6034418621354
-4.5,-6.5,69.9559603666498
-4,-6.5,80.3594731571526
-3.5,-6.5,91.7151790623862
-3,-6.5,102.486305964539
-2.5,-6.5,110.673812148911
-2,-6.5,113.647479728734
-1.5,-6.5,107.885458191459
-1,-6.5,88.942305082191
-10,-6,18.4700783870746
-9.50000000000001,-6,19.8654400798116
-9,-6,22.5448565384233
-8.5,-6,27.20006169888
-8.00000000000001,-6,33.9957357252689
-7.5,-6,41.653378252922
