pkx,d,wL,P50,pxmin,pxgs50,slope
0.5,1,0.237744791,-0.870375413,-0.853671652,-0.853671631,0.019603259
0.5,2,0.19484877,-1.740750825,-2.040710036,-2.040709985,0.032241468
0.5,3,0.172348533,-2.611126238,-3.492945736,-3.170723954,0.07593751
0.5,4,0.158243852,-3.48150165,-5.076980566,-3.935612928,0.09290733
0.5,5,0.148368212,-4.351877063,-6.732620118,-4.747266672,0.099958994
0.5,6,0.140970111,-5.222252475,-8.42326853,-5.582124092,0.10294952
0.5,7,0.135037694,-6.092627888,-10.16866956,-6.421929411,0.104302067
0.5,8,0.130342839,-6.9630033,-11.87340411,-7.283298194,0.104695232
0.5,9,0.1262231,-7.833378713,-13.66686673,-8.134374201,0.104758689
0.5,10,0.122808141,-8.703754125,-15.41140166,-9.000146267,0.104620931
